service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
CALEND-543-Καθημερινή-15,1,1,1,1,1,0,0,20161201,20170630
CALEND-543-Σαβ/Κυρ-07,0,0,0,0,0,1,1,20161203,20170701
CALEND-550-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-550-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-550-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-560-7-ημέρες-01,1,1,1,1,1,1,1,20161201,20170701
CALEND-602-642-Καθημερινή-04,1,1,1,1,1,0,0,20161201,20170630
CALEND-602-642-Κυριακή-02,0,0,0,0,0,0,1,20161204,20170625
CALEND-602-642-Σάββατο-01,0,0,0,0,0,1,0,20161203,20170701
CALEND-604-Δευ-Σαβ-06,1,1,1,1,1,1,0,20161201,20170701
CALEND-605-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-605-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-605-Σάββατο-08,0,0,0,0,0,1,0,20161203,20170701
CALEND-608-Καθημερινή-07,1,1,1,1,1,0,0,20161201,20170630
CALEND-608-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-608-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-610-Καθημερινή-02,1,1,1,1,1,0,0,20161201,20170630
CALEND-610-Κυριακή-02,0,0,0,0,0,0,1,20161204,20170625
CALEND-610-Σάββατο-02,0,0,0,0,0,1,0,20161203,20170701
CALEND-619-Καθημερινή-01,1,1,1,1,1,0,0,20161201,20170630
CALEND-619-Κυριακή-01,0,0,0,0,0,0,1,20161204,20170625
CALEND-619-Σάββατο-01,0,0,0,0,0,1,0,20161203,20170701
CALEND-622-815-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-622-815-Κυριακή-06,0,0,0,0,0,0,1,20161204,20170625
CALEND-622-815-Σάββατο-10,0,0,0,0,0,1,0,20161203,20170701
CALEND-640-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-640-Σαβ/Κυρ-04,0,0,0,0,0,1,1,20161203,20170701
CALEND-651-Καθημερινή-08,1,1,1,1,1,0,0,20161201,20170630
CALEND-651-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-651-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-653-Καθημερινή-10,1,1,1,1,1,0,0,20161201,20170630
CALEND-653-Κυριακή-09,0,0,0,0,0,0,1,20161204,20170625
CALEND-653-Σάββατο-11,0,0,0,0,0,1,0,20161203,20170701
CALEND-700-Καθημερινή-05,1,1,1,1,1,0,0,20161201,20170630
CALEND-700-Κυριακή-08,0,0,0,0,0,0,1,20161204,20170625
CALEND-700-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-701-704-Καθημερινή-13,1,1,1,1,1,0,0,20161201,20170630
CALEND-701-704-Κυριακή-11,0,0,0,0,0,0,1,20161204,20170625
CALEND-701-704-Σάββατο-09,0,0,0,0,0,1,0,20161203,20170701
CALEND-703-Καθημερινή-09,1,1,1,1,1,0,0,20161201,20170630
CALEND-703-Κυριακή-04,0,0,0,0,0,0,1,20161204,20170625
CALEND-703-Σάββατο-06,0,0,0,0,0,1,0,20161203,20170701
CALEND-711-Καθημερινή-03,1,1,1,1,1,0,0,20161201,20170630
CALEND-711-Κυριακή-03,0,0,0,0,0,0,1,20161204,20170625
CALEND-711-Σάββατο-03,0,0,0,0,0,1,0,20161203,20170701
CALEND-712-713-Καθημερινή-01,1,1,1,1,1,0,0,20161201,20170630
CALEND-712-713-Σαβ/Κυρ-01,0,0,0,0,0,1,1,20161203,20170701
CALEND-719-Καθημερινή-12,1,1,1,1,1,0,0,20161201,20170630
