shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
ΑΘΗΝΧΑΛΚ,38.0759297,23.7350049,654
ΑΘΗΝΧΑΛΚ,38.0760689,23.7349957,657
ΑΘΗΝΧΑΛΚ,38.0762015,23.7349985,660
ΑΘΗΝΧΑΛΚ,38.0763464,23.7350132,663
ΑΘΗΝΧΑΛΚ,38.0764885,23.7350353,666
ΑΘΗΝΧΑΛΚ,38.0766277,23.7350638,669
ΑΘΗΝΧΑΛΚ,38.0767726,23.7351071,672
ΑΘΗΝΧΑΛΚ,38.0769089,23.7351559,675
ΑΘΗΝΧΑΛΚ,38.0770603,23.7352241,678
ΑΘΗΝΧΑΛΚ,38.0771908,23.7352931,681
ΑΘΗΝΧΑΛΚ,38.0773386,23.7353797,684
ΑΘΗΝΧΑΛΚ,38.0774916,23.7354865,687
ΑΘΗΝΧΑΛΚ,38.0776112,23.7355822,690
ΑΘΗΝΧΑΛΚ,38.0777307,23.7356872,693
ΑΘΗΝΧΑΛΚ,38.0778351,23.7357921,696
ΑΘΗΝΧΑΛΚ,38.0779474,23.7359164,699
ΑΘΗΝΧΑΛΚ,38.0780373,23.7360241,702
ΑΘΗΝΧΑΛΚ,38.0781243,23.736142,705
ΑΘΗΝΧΑΛΚ,38.0782134,23.7362737,708
ΑΘΗΝΧΑΛΚ,38.0783069,23.7364302,711
ΑΘΗΝΧΑΛΚ,38.0783888,23.7365793,714
ΑΘΗΝΧΑΛΚ,38.0784794,23.7367681,717
ΑΘΗΝΧΑΛΚ,38.0785707,23.7369679,720
ΑΘΗΝΧΑΛΚ,38.0787287,23.7373343,723
ΑΘΗΝΧΑΛΚ,38.057441,23.7333808,726
ΑΘΗΝΧΑΛΚ,38.0576832,23.7334361,729
ΑΘΗΝΧΑΛΚ,38.0617246,23.7349712,732
ΑΘΗΝΧΑΛΚ,38.0613443,23.7347808,735
ΑΘΗΝΧΑΛΚ,38.0605877,23.7344033,738
ΑΘΗΝΧΑΛΚ,38.0602659,23.7342406,741
ΑΘΗΝΧΑΛΚ,38.0597984,23.7340156,744
ΑΘΗΝΧΑΛΚ,38.0595575,23.7339047,747
ΑΘΗΝΧΑΛΚ,38.0592534,23.7337813,750
ΑΘΗΝΧΑΛΚ,38.058945,23.733682,753
ΑΘΗΝΧΑΛΚ,38.0583917,23.7335506,756
ΑΘΗΝΧΑΛΚ,38.0803033,23.7437368,759
ΑΘΗΝΧΑΛΚ,38.0803062,23.7435715,762
ΑΘΗΝΧΑΛΚ,38.0803128,23.7434378,765
ΑΘΗΝΧΑΛΚ,38.0803227,23.7433093,768
ΑΘΗΝΧΑΛΚ,38.0803277,23.7431577,771
ΑΘΗΝΧΑΛΚ,38.0803277,23.7429956,774
ΑΘΗΝΧΑΛΚ,38.1255153,23.8358956,777
ΑΘΗΝΧΑΛΚ,38.124646,23.8343058,780
ΑΘΗΝΧΑΛΚ,38.1241874,23.8333618,783
ΑΘΗΝΧΑΛΚ,38.123763,23.8325255,786
ΑΘΗΝΧΑΛΚ,38.1234635,23.8316268,789
ΑΘΗΝΧΑΛΚ,38.1224899,23.827957,792
ΑΘΗΝΧΑΛΚ,38.1222152,23.8270583,795
ΑΘΗΝΧΑΛΚ,38.1219282,23.8262844,798
ΑΘΗΝΧΑΛΚ,38.1214414,23.8254356,801
ΑΘΗΝΧΑΛΚ,38.1200309,23.8238379,804
ΑΘΗΝΧΑΛΚ,38.1191197,23.8228643,807
ΑΘΗΝΧΑΛΚ,38.1185954,23.822053,810
ΑΘΗΝΧΑΛΚ,38.1181461,23.8210045,813
ΑΘΗΝΧΑΛΚ,38.117834,23.8197937,816
ΑΘΗΝΧΑΛΚ,38.1176842,23.8184581,819
ΑΘΗΝΧΑΛΚ,38.1174595,23.8171724,822
ΑΘΗΝΧΑΛΚ,38.1170351,23.8160241,825
ΑΘΗΝΧΑΛΚ,38.1165234,23.8150255,828
ΑΘΗΝΧΑΛΚ,38.1160491,23.813977,831
ΑΘΗΝΧΑΛΚ,38.1157245,23.8129285,834
ΑΘΗΝΧΑΛΚ,38.1154499,23.8113932,837
ΑΘΗΝΧΑΛΚ,38.1152252,23.8102199,840
ΑΘΗΝΧΑΛΚ,38.1149132,23.8090715,843
ΑΘΗΝΧΑΛΚ,38.1144261,23.8079246,846
ΑΘΗΝΧΑΛΚ,38.1262605,23.8373205,849
ΑΘΗΝΧΑΛΚ,38.1255153,23.8358956,852
ΑΘΗΝΧΑΛΚ,38.192731,23.8437469,855
ΑΘΗΝΧΑΛΚ,38.192472,23.843785,858
ΑΘΗΝΧΑΛΚ,38.192472,23.843785,861
ΑΘΗΝΧΑΛΚ,38.1909923,23.8440509,864
ΑΘΗΝΧΑΛΚ,38.1903371,23.8441634,867
ΑΘΗΝΧΑΛΚ,38.1901597,23.8441939,870
ΑΘΗΝΧΑΛΚ,38.1645206,23.8612943,873
ΑΘΗΝΧΑΛΚ,38.1641903,23.8617159,876
ΑΘΗΝΧΑΛΚ,38.1645206,23.8612943,879
ΑΘΗΝΧΑΛΚ,38.1647336,23.860979,882
ΑΘΗΝΧΑΛΚ,38.1649416,23.8606464,885
ΑΘΗΝΧΑΛΚ,38.1651396,23.8602929,888
ΑΘΗΝΧΑΛΚ,38.1653442,23.8599397,891
ΑΘΗΝΧΑΛΚ,38.165528,23.8596439,894
ΑΘΗΝΧΑΛΚ,38.1657901,23.8592537,897
ΑΘΗΝΧΑΛΚ,38.166013,23.8589795,900
ΑΘΗΝΧΑΛΚ,38.1662498,23.8587364,903
ΑΘΗΝΧΑΛΚ,38.1665399,23.8584833,906
ΑΘΗΝΧΑΛΚ,38.166886,23.8582366,909
ΑΘΗΝΧΑΛΚ,38.1672167,23.8580735,912
ΑΘΗΝΧΑΛΚ,38.1676891,23.8579276,915
ΑΘΗΝΧΑΛΚ,38.1684651,23.8577902,918
